"id","price","sent","cond","year","built","lat","lon","sq.m.h","sq.m.block","sq.m.pool","reno","bedrooms","bathrooms","environ"
1,1.62016372289065,1,1.254,5,1,0.214292386167818,0.0870801669691538,271,1686,21,0,3,3,1
2,1.23389820971159,1,2.626,2,2,1.04368478552843,0.175831949918982,400,805,0,0,5,4,1
3,0.968606139944906,1,1.285,9,2,0.606694521912293,0.0777294735788834,270,497,0,0,2,3,1
4,-0.155688275538767,0,2.521,3,2,0.196032855601255,0.104240128073335,130,446,0,0,5,2,1
5,-0.91789733859664,0,0.92,5,4,-0.537505627641691,0.237169111638833,229,937,0,0,5,2,2
6,0.641508967682934,1,-0.878,11,10,0.554885914601583,0.23596188718835,471,1242,64,0,4,4,0
7,0.534987704312444,1,1.481,2,2,-0.636510864257337,0.438453513608849,149,48085,0,0,3,2,0
8,2.16463817924484,1,-0.542,12,8,0.204074769894901,0.328646412498275,567,1115,68,0,4,4,1
9,0.315455497267178,0,1.672,NA,2,0.184814020364649,0.0922939999331341,243,556,0,0,4,3,2
10,0.16411827481614,0,-1.148,4,10,-0.875245669436208,0.188601713534769,248,1255,42,0,3,3,1
11,-1.75905477429749,0,-0.546,10,2,-0.17005239152978,0.183621122387081,74,679,0,0,0,1,1
12,0.192964604181089,0,-1.213,2,5,0.566676101191977,0.364551353716755,162,382,64,0,1,2,1
13,-0.518485384984101,0,-0.265,10,8,1.20150860900981,0.196229886506974,225,571,NA,0,4,2,2
14,-0.115836175499215,0,0.013,2,8,-0.803156526223206,0.414469981617303,137,904,50,0,3,2,1
15,2.64108541131609,1,-0.33,4,10,0.561919785653511,0.232166675560227,393,1880,66,0,4,3,1
16,0.188208777847434,0,-1.386,2,10,-1.10786815564497,0.208666952517595,239,583,42,0,NA,2,2
17,-1.05305912875693,0,0.06,7,5,1.15582840596924,0.22602212215778,258,1116,0,0,3,2,1
18,-0.604792890344418,0,1.06,10,2,0.885200415933552,0.110370403486699,101,753,0,0,3,1,1
19,-0.240180805886007,0,-1.385,6,7,1.20700466459189,0.277972287276182,177,880,43,0,3,2,1
20,-0.492786545278705,0,-1.011,10,8,0.440301025683013,0.398375238096157,217,331,45,0,3,2,1
22,-0.0942889361356489,1,-0.803,1,6,-0.757049015796114,0.202119521251303,145,726,52,0,2,2,2
24,-0.194469930840599,0,-0.368,11,8,0.219536515876681,0.159877886894201,217,523,0,0,4,2,0
25,0.222925653938484,0,0.696,9,6,1.15675913205076,0.297298041820384,220,1526,19,0,4,2,2
28,0.0656711708030917,0,-1.234,11,8,0.263347487491745,0.389781296927424,276,642,70,0,NA,2,1
29,0.916253129720911,0,-0.278,4,9,0.604326379811837,0.109967228646813,151,154,0,0,3,2,1
31,0.125779852429354,0,0.8,10,5,-0.28846489993531,0.125357905293836,212,1111,46,0,4,3,1
